depth,porosity,Vp,Gamma
339.36,31.35,2659,5.991
340.38,32.01,2661.7,4.812
345.85,29.36,2673.62,5.356
346.86,25.82,2610.03,5.531
347.68,25.9,2605.38,11.126
348.7,26.02,2638.96,7.024
351.6,26.76,2686.42,6.095
353.45,26.61,2602.09,8.88
354.3,27.28,2607.81,8.79
357.21,21.02,2619.32,6.739
358.15,28.52,2635.53,8.822
360.01,28.22,2645.86,7.77
361.75,28.76,2606.51,7.032
362.8,27.97,2597.02,9.378
364.75,30.1,2607.83,5.642
365.65,31.03,2632.29,5.023
366.55,23.82,2629.52,5.977
367.5,26.68,3035.06,6.023
369.41,27.66,2657.03,6.131
371.3,24.61,2593.26,4.869
373.06,29.57,2632.97,4.599
374.05,27.01,2604.35,6.102
374.98,30.61,2650.25,5.35
375.86,30.64,2673.68,6.009
376.85,33.49,2636.88,4.636
377.78,30.37,2676.38,4.912
379.61,32.12,2650.76,2.767
380.6,28.04,2609.51,3.48
381.45,31.18,2653.14,4.118
382.3,30.37,2583.05,3.66
384.18,31.86,2605.67,3.358
385.18,31.22,2618.22,3.748
386.05,32.27,2657.48,4.585
386.93,30.69,2642.34,3.648
387.88,31.8,2662.01,4.955
389.71,28.39,2688.27,4.758
390.73,29.96,2655.58,2.542
391.65,28.51,2648.3,5.184
393.53,29.14,2709.33,5.065
395.4,28.44,2656.14,5.047
397.3,29.21,2695.49,3.714
398.35,28.21,2690.96,3.999
399.13,24.45,2703.72,5.088
400,29.14,2672.2,3.477
401.06,26.2,2683.77,4.015
402.9,25.68,2685.46,4.169
403.85,26.9,2753.99,5.143
404.76,25.62,2827.61,4.307
406.68,28.6,2453.56,2.948
407.71,28.23,2351.17,3.13
409.45,28.6,2702.43,2.899
412.23,26.52,2716.85,4.346
413.98,26.43,2697.3,5.058
415.78,23.02,2769.88,4.795
416.75,28.1,2689.58,4.012
418.65,25.25,2803.07,5.709
421.53,28.25,2835.5,2.423
424.3,28.52,2758.37,3.297
427.11,29.03,2728.42,2.99
428.03,29.71,2735.08,3.664
429.71,28.15,2720.75,4.788
431.7,26.72,2736.81,4.285
432.55,29.77,2758.37,2.426
434.56,29.26,2715.13,4.482
436.35,32.91,2769.08,5.325
438.28,30.31,2695.23,4.299
439.18,27.83,2659.45,4.583
441.13,30.61,2697.35,2.914
441.95,31.42,2806.91,2.968
442.96,29.25,2711.62,2.121
444.81,32.43,2705.18,2.624
445.75,31.86,2759.69,2.368
